execution_count,companyId,companyName,month
9538,404,MONGO'S,2025-05
4202,745,Mail Boxes Etc,2025-05
3763,1950,Marriott,2025-05
54966,405,Massline,2025-05
613,1648,Medexcard,2025-05
15,1507,Michael’s Delivery,2025-05
19,2181,Mindmatter Academy,2025-05
111,2043,Morphosis,2025-05
5,339,Movil Group,2025-05
4,967,N5,2025-05
19,2019,NATURALESMEJOR S.A.,2025-05
1671,1482,Naturisa,2025-05
1645721,147,Netlife,2025-05
1703,2223,Netlife - Ecuanet Telemarketing,2025-05
5,2324,Netlife SMBS,2025-05
17,2260,ORIGAMI ECUADOR,2025-05
294,1962,Ondu Cloud,2025-05
1973,1480,Oriental,2025-05
1,2176,PROALCONSULTING,2025-05
118562,337,Piloto Creditia,2025-05
10,1379,Pocket Tienda Prototipo,2025-05
1,1547,PopCornComunication,2025-05
1,2321,Prueba William SMB,2025-05
9,2017,Punta Azul,2025-05
180026,54,Pycca,2025-05
43,1903,Rabbit,2025-05
1710,2239,Racevents,2025-05
25,2277,Rappipay,2025-05
258,2259,Roniki Professional Ecuador,2025-05
2241,1633,SaludSA,2025-05
312809,123,Security Data,2025-05
242,1845,Seguros Confianza,2025-05
31,358,Seguros Liberty,2025-05
36,452,Seguros Pacífico,2025-05
48,1984,Semvra,2025-05
10777,1,Shippify,2025-05
1890,1566,Siigo,2025-05
143,1811,Sistecrédito,2025-05
44632,1761,Solca,2025-05
195,1641,Supreme Ventures,2025-05
504,2242,TIA Shopper,2025-05
27,2299,TOYS & HOBBIES,2025-05
329,1384,Talento Humano,2025-05
2,1810,TeFío Shop,2025-05
11,382,Team APPS,2025-05
19653,1844,Tienda Branchos,2025-05
284,1946,Total Education Program,2025-05
264,2014,Totalplay,2025-05
5890,183,Tracklink,2025-05
1571,1880,TransSky,2025-05
79,2001,TransSky Cobranzas,2025-05
91,1953,TuSupperAhorro,2025-05
8632,823,Tuenti POC,2025-05
21915,1890,Tuenti Vendedores,2025-05
170,2205,Universidad Insurgente,2025-05
175,807,Universidad de las Artes,2025-05
655,2258,VACAN ELECTRODOMESTICOS,2025-05
311,2121,VITAMINWORLD,2025-05
176555,95,Veris,2025-05
251,1860,Vitapro,2025-05
237,1133,Vivalia,2025-05
429403,1696,XTRIM,2025-05
48,2310,Yappy,2025-05
25738,353,Yomp,2025-05
297,1964,ZHM Seguros,2025-05
1,2323,test new company 28 05,2025-05
362,2236,11 Gallery Tattoo,2025-06
101,2325,4 Me,2025-06
85332,312,ABInBev Colombia,2025-06
18,2300,ABS,2025-06
1097,2031,Alpha Trading,2025-06
37,462,Ambiente QA,2025-06
6,2365,Andrés ontiveros,2025-06
3,1896,Arca Continental Argentina,2025-06
11,2292,Arca MX Atencion AC,2025-06
216411,362,Arca PE,2025-06
352,1068,Arca PE Ecommerce,2025-06
27458,470,Arca PE Proyecto Frío,2025-06
135,1940,Arca camiones,2025-06
59,1849,Arca movil,2025-06
611,2233,Arca pe Turbo,2025-06
25,317,Aurea,2025-06
1,1639,Automation QA Test,2025-06
9575,2183,Automekano,2025-06
247731,1974,BCP Cobranza,2025-06
