companyId,week_end_sunday,conversationType,event_count,billable_count
75,2026-02-01,UTILITY,1289,769
75,2026-02-08,MARKETING_LITE,177,177
75,2026-02-08,UTILITY,1173,686
75,2026-02-15,MARKETING_LITE,192,192
75,2026-02-15,UTILITY,1204,707
75,2026-02-22,MARKETING_LITE,172,172
75,2026-02-22,UTILITY,1312,729
75,2026-03-01,MARKETING_LITE,1838,1838
75,2026-03-01,UTILITY,1439,832
75,2026-03-08,MARKETING_LITE,91,91
75,2026-03-08,UTILITY,626,381
85,2025-11-16,MARKETING_LITE,2444,2444
85,2025-11-16,UTILITY,1,0
85,2025-11-23,MARKETING_LITE,547,547
85,2025-11-30,MARKETING_LITE,20,20
85,2025-12-07,MARKETING_LITE,673,666
85,2025-12-14,MARKETING_LITE,15,3
85,2025-12-21,MARKETING_LITE,1119,1113
85,2025-12-28,MARKETING_LITE,18,11
85,2026-01-04,MARKETING_LITE,13,1
85,2026-01-11,MARKETING_LITE,13,2
85,2026-01-18,MARKETING_LITE,9,2
95,2025-07-06,MARKETING,425,425
95,2025-07-06,UTILITY,2642,2387
95,2025-07-13,MARKETING,566,566
95,2025-07-13,UTILITY,3131,2835
95,2025-07-20,MARKETING,1055,1055
95,2025-07-20,UTILITY,3096,2818
95,2025-07-27,MARKETING,913,913
95,2025-07-27,UTILITY,2962,2719
95,2025-08-03,MARKETING,1159,1159
95,2025-08-03,UTILITY,2686,2444
95,2025-08-10,MARKETING,2285,2285
95,2025-08-10,UTILITY,2151,1969
95,2025-08-17,MARKETING,2088,2088
95,2025-08-17,UTILITY,2254,2065
95,2025-08-24,MARKETING,1950,1950
95,2025-08-24,UTILITY,2944,2690
95,2025-08-31,MARKETING,1490,1490
95,2025-08-31,UTILITY,3129,2883
95,2025-09-07,MARKETING,1871,1871
95,2025-09-07,UTILITY,5494,5183
95,2025-09-14,MARKETING,1980,1980
95,2025-09-14,UTILITY,3208,2891
95,2025-09-21,MARKETING,2124,2124
95,2025-09-21,UTILITY,3225,2954
95,2025-09-28,MARKETING,2382,2382
95,2025-09-28,UTILITY,3327,3018
95,2025-10-05,MARKETING,2426,2426
